Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
655601;3048093500646;COUPE ONGLES PEDICU+RECEPTA  C;COUPE ONGLES P;2 ;1.53;0100000000;60;670;3 
444327;3256224705123;4X100G PANIER JBON/FROMAGE U  ;4X100G PANIER ;1 ;1.61;0215240525;10;390;8 
433350;3256220174114;75ML CIRAGE BOITE INCOLORE U  ;75ML CIRAGE BO;2 ;0.54;0115131550;10;510;8 
512390;3256221675146;200G CHEDD.MATURE 34.4% U     ;200G CHEDD.MAT;1 ;1.58;0225281525;10;420;8 
608303;8710438059199;700G ORIGINAL POTATOES MC CAIN;700G ORIGINAL ;1 ;1.62;0215245030;26;390;3 
633340;7312740010182;100G OEUF LOMPE RGE ROYAL SWEE;100G OEUF LOMP;1 ;1.96;0240401005;4 ;491;3 
367132;3542820367132;CHIFFO DE CUIT(CU)            ;CHIFFO DE CUIT;1 ;1.27;0245420505;10;475;ZZ
445577;3256224255055;6 OEUFS CALIBRE MOYEN U BIO   ;6 OEUFS CALIBR;1 ;1.64;0225330525;7 ;417;11
453716;2850771000000;2 PAVÉ *** A GRILLÉ SKIN UX4 B;2 PAVÉ *** A G;1 ;15.8;0255470430;12;486;8 
067418;3256224070047;CADENAS U LAITON 20MM A/COMBI ;CADENAS U LAIT;2 ;2.28;0320753005;40;610;8 
595372;3033610092124;50G CONFIT D OIGNONS          ;50G CONFIT D O;1 ;0.93;0240381525;36;380;3 
517544;8712566342822;8 MAGNUM MINI DOUBLE CHOC CARA;8 MAGNUM MINI ;1 ;2.87;0215252525;21;410;3 
668604;8412805999540;200G MAIS GRILLÉS SALES       ;200G MAIS GRIL;1 ;0.67;0105071025;18;20 ;4 
467058;3256220612050;100G 10 TRANCHES COPPA U      ;100G 10 TRANCH;1 ;0.85;0240381540;20;380;8 
071600;3147690071600;FLASK 20CLX40* CO(CU)         ;FLASK 20CLX40*;2 ;3.91;0110121030;5 ;370;ZZ
610889;3492844651000;FRAIS EMB FOURME D AMBERT 2 ¤ ;FRAIS EMB FOUR;1 ;1.5;0225282010;46;421;3 
543448;3660992004829;450G 10 PAIN AU CHOCO BIEN VU ;450G 10 PAIN A;1 ;1.19;0210220510;93;20 ;9 
534889;3498976165002;100G TAPENADE NOIRE           ;100G TAPENADE ;1 ;1.35;0230350672;4 ;491;3 
731601;3256223685662;STYLOS BILLE U X4 COULEUR ASS.;STYLOS BILLE U;2 ;0.55;0310612005;50;680;8 
210435;8003495070031;50G PERSIL SURGELE            ;50G PERSIL SUR;1 ;0.74;0215243505;23;390;4 
389763;3256221111750;250G PAPILLONS IGP AUX OEUFS U;250G PAPILLONS;1 ;0.67;0105042010;20;110;8 
008430;4015400685036;10X SERV.INCONT.LONGUE ALWAYS ;10X SERV.INCON;2 ;2.77;0120161510;56;670;3 
440404;3256220573696;98G OS MACHER X4 U            ;98G OS MACHER ;2 ;0.91;0105082005;22;270;8 
333576;2653810000000; 4TR GAMBET.ROTI PORC F-EMB X6;4TR GAMBET.ROT;1 ;0.0;0240390000;70;380;4 
110794;3384129110794;RECH  ABSORBEUR HUMID SPO(CU) ;RECH  ABSORBEU;2 ;2.16;0420977505;10;993;ZZ
482367;4009044113017;SAC POIGNEE SOUPLE PCR        ;SAC POIGNEE SO;2 ;0.08;0905051530;40;813;ZZ
000121;0000000000121;(MT)SAC DE CAISSE             ;SAC DE CAISSE ;2 ;0.02;0905050500;40;813;ZZ
455645;2481672000000;    1 ENTRECOTE U FRAICHEUR X6;1 ENTRECOTE U ;1 ;0.0;0255470000;12;486;14
342567;3029330004257;500G VOLLKORBROT (PAIN SEIGLE);500G VOLLKORBR;1 ;1.23;0210210540;91;20 ;3 
452558;3256220064101;200G SACHET BATAVIA U         ;200G SACHET BA;1 ;0.71;0230350512;21;450;8 
513231;3256222633572;100G RECETTE TOMATE BASILIC U ;100G RECETTE T;1 ;0.81;0240401520;4 ;491;8 
174663;3533631465001;1L LAIT FERMENTE ELBEN LACTEOR;1L LAIT FERMEN;1 ;1.22;0225320510;35;419;3 
513477;3256222647845;SEAU ROND U 12L               ;SEAU ROND U 12;2 ;1.84;0305580520;80;510;8 
411081;3256226531638;400G SAVON MARSEILLE BLANC U  ;400G SAVON MAR;2 ;0.6;0115130515;10;500;8 
158253;3561292158253;ORANGE RECHARGE(CU)           ;ORANGE RECHARG;2 ;8.03;0905159999;60;814;ZZ
529389;3256222984582;300G PALETS LEG.COURG/PT LEG U;300G PALETS LE;1 ;1.07;0215244530;22;390;8 
613112;3368959923373;250G MELANGE 3 OLIVES PISTOU  ;250G MELANGE 3;1 ;1.22;0105020510;16;20 ;15
060652;3052503230566;RAL ROUGE EDITION-BRUN BOHEME ;RAL ROUGE EDIT;2 ;5.57;0120153500;90;660;ZZ
332782;3451790961038;33CL SCE BECHAMEL EL VIRE     ;33CL SCE BECHA;1 ;1.03;0225302010;33;419;3 
567921;3256221016215;150G RILLETTES THON U         ;150G RILLETTES;1 ;1.13;0240401010;4 ;491;8 
328408;8032484860261;110G CHIFF.JAMB CUIT ITAL CORT;110G CHIFF.JAM;1 ;2.66;0245420500;29;380;4 
457045;2865543000000;8 AIGUILLET.PLT JNE  U FRAI X6;8 AIGUILLET.PL;1 ;0.0;0250461000;10;460;14
667797;3366321051686;510G BARQ ST HUBERT 41 OMEGA 3;510G BARQ ST H;2 ;2.56;0225300515;10;419;3 
989733;3599740008652;600G POMME PERIGORD FINDUS    ;600G POMME PER;1 ;1.93;0215245040;25;390;3 
547573;5601028011693;2RLX ESSUIE TOUT RENOVA OLE   ;2RLX ESSUIE TO;2 ;0.44;0120162015;70;670;3 
785472;8000500160749;PACK 3 PIECES KINDER JOY T3   ;PACK 3 PIECES ;2 ;2.09;0105023020;60;75 ;3 
007565;3287360753570;100G 1TR.PATE CROUTE 2 OLIVES ;100G 1TR.PATE ;1 ;0.87;0245450520;70;380;3 
071572;8004260229791;9 RLX PAPIER TOIL TREFLE PECHE;9 RLX PAPIER T;2 ;1.89;0120163000;30;670;3 
446858;3256224193005;100G TARAMA OEUFS CABILLAUD U ;100G TARAMA OE;1 ;0.56;0240401505;4 ;491;8 
281795;3551610001033;180G 2 STEACK HACHE THON      ;180G 2 STEACK ;1 ;1.83;0265530701;6 ;491;3 
722628;3760003992463;A/MIT.ALIM.ET TEXT.2/1 DGK X3 ;A/MIT.ALIM.ET ;2 ;2.58;0120170510;64;510;3 
386498;3256220881067;BROSSE A LAVER U A/POIGNEE    ;BROSSE A LAVER;2 ;1.54;0305580535;80;510;8 
080848;3024720020121;110G POT RILLETE BORD.CHESNEL ;110G POT RILLE;1 ;1.06;0240381505;40;380;3 
443834;3256224531203;8X50G PANES DE COLIN ALASKA U ;8X50G PANES DE;1 ;1.86;0215241015;42;390;8 
035851;3257630068536;190 G BRANDADE DE MORUE BTE   ;190 G BRANDADE;1 ;2.3;0240402545;3 ;491;4 
551166;3165440370391;450G 4 COQ ST JACQUES+ 1 GTE  ;450G 4 COQ ST ;1 ;4.65;0215241510;40;390;ZZ
575306;3660992008407;ESCALOPES POULET BIEN VU 1KG  ;ESCALOPES POUL;1 ;5.18;0215243015;30;390;9 
660999;3362763029221;175G 4 TR SAU.FUME ECOS+1GR FA;175G 4 TR SAU.;1 ;5.95;0265529605;1 ;491;ZZ
701818;3533631253004;6X25CL CANDIA CROISSANCE BABY ;6X25CL CANDIA ;1 ;2.99;0105070520;40;90 ;3 
645151;3045670001954;BOX PAPIER CADEAU CLASSIQUE   ;BOX PAPIER CAD;2 ;0.8;0310611010;10;600;3 
649503;3492845002009;400G PLT 5 FROMAGES STICK 5¤  ;400G PLT 5 FRO;1 ;3.81;0225284535;28;420;3 
073184;3610460082149;PANT.HELLO KIT.GRIS+ROSE 20/27;PANT.HELLO KIT;2 ;4.49;0425100000;20;830;ZZ
091166;3451790153051;250G BEURRIER TENDRE&LEGER 20%;250G BEURRIER ;1 ;0.98;0225311505;8 ;419;3 
276538;3322680009492;256G 8 CREPES WHAOU CHOCO PC  ;256G 8 CREPES ;1 ;1.4;0210231045;95;20 ;3 
422951;3387620030066;330G SAUCISSE SUPERIEURE      ;330G SAUCISSE ;1 ;2.6;0255478405;21;486;3 
NULL;3178040693128;MIROR ARGENTIL 250ML          ;MIROR ARGENTIL;2 ;2.45;0115131555;40;510;3 
040814;3292070100958;145G SCE SPEC.SAUM.FHERB.LABEY;145G SCE SPEC.;1 ;1.77;0240402555;4 ;491;ZZ
541535;5000328230603;326G SAUCE DOUCE DIPPAS DORITO;326G SAUCE DOU;1 ;1.67;0105020520;10;20 ;3 
386456;3256225500154;BALAI MULTI-USAGES U          ;BALAI MULTI-US;2 ;1.18;0305580505;80;510;8 
032308;3256225717842;4KG CHARBON DE BOIS EN SAC U  ;4KG CHARBON DE;2 ;3.78;0315691063;20;530;8 
079813;3248830085010;400G TARTE AU CHEVRE MARIE    ;400G TARTE AU ;1 ;2.02;0215240500;11;390;3 
NULL;3542820367125;CHIFFO MORTADELLE 120G        ;CHIFFO MORTADE;1 ;1.25;0245429999;13;475;4 
491641;3382510032007;110G OLIVE VERTE DEN.ORIENTALE;110G OLIVE VER;1 ;0.99;0230350652;10;445;3 
669472;4026272033092;PELUCHE OURS ASSIS NOEUD 18CM ;PELUCHE OURS A;2 ;2.36;0315680505;10;730;ZZ
502337;3660992006533;COPEAUX DE BOIS BIEN VU 800G  ;COPEAUX DE BOI;2 ;0.58;0105082025;50;270;9 
006195;3333680001348;90G PAVE PUR PORC SAVOIE      ;90G PAVE PUR P;1 ;0.89;0245422010;10;380;3 
075005;3256225038336;X25 ENVEL.KRAFT U ECO 229X324 ;X25 ENVEL.KRAF;2 ;1.25;0300000000;30;680;8 
NULL;3119780006106;6X33CL BOITE PANACH           ;6X33CL BOITE P;1 ;2.24;0110102010;70;310;3 
397588;3059942280473;20 SERPIL ST MARC ANTIBACTERIE;20 SERPIL ST M;2 ;1.75;0115140510;95;510;3 
452304;3256225042821;12 PTI POT VAN/FRA/CHOC U     ;12 PTI POT VAN;1 ;1.38;0215253010;40;410;8 
551564;3256221053494;80G ROQUETTE U                ;80G ROQUETTE U;1 ;0.57;0230350526;21;450;8 
642789;3155250358788;250G PRIMEVERE BIO            ;250G PRIMEVERE;1 ;1.28;0225301505;10;419;3 
596792;3449865240904;260G BATON DE BERGER NATURE   ;260G BATON DE ;1 ;2.91;0240410510;10;380;3 
544216;3760093910019;3X100G POP CORN M.O SALE      ;3X100G POP COR;1 ;2.19;0230361580;15;20 ;3 
270817;0215521000000;  2 ESCALOPPES DINDES S/AT 11J;2 ESCALOPPES D;1 ;0.0;0250462000;20;460;3 
419144;3256223365205;MANCHE U EN BOIS BRUT PEFC    ;MANCHE U EN BO;2 ;1.11;0305580510;80;510;8 
456104;3256220369893;900G POELEE RUSTIQUE U        ;900G POELEE RU;1 ;2.93;0215244515;56;390;8 
444050;3256224160007;400G QUICHE LORRAINE U        ;400G QUICHE LO;1 ;1.22;0215240510;11;390;8 
128094;3251514251007;470G FONDANT CHOCOLAT MARIE   ;470G FONDANT C;1 ;3.87;0215251505;11;410;3 
624773;3048090040121;FIL DENTAIRE CLASSIQUE 50M    ;FIL DENTAIRE C;2 ;1.24;0120151000;39;650;3 
238459;8691595121229;250G ABRICOTS SECS CAL1       ;250G ABRICOTS ;1 ;1.4;0230360515;10;120;ZZ
002850;3086125002850;CHAPELET 3 BRIQUETJ26 MAXI(CU);CHAPELET 3 BRI;2 ;2.22;0120151505;40;650;ZZ
638316;3660992801558;2 TORCH.CARRO BLC 50X70 B.VU  ;2 TORCH.CARRO ;2 ;1.85;0420939999;10;840;9 
720838;3256223351871;2 SUCETTES SILICONE T2 UPET   ;2 SUCETTES SIL;2 ;1.96;0420949999;10;662;16
702880;3256221978896;300G PORC CARAMEL ET RIZ U    ;300G PORC CARA;1 ;1.48;0240391020;57;380;12
215354;3058325014407;100ML MEN SOIN BAUME AP RASAGE;100ML MEN SOIN;2 ;3.19;0120151520;50;660;3 
545678;3256223365304;10 X FRO.FOND.CROQ.MONS.18% U ;10 X FRO.FOND.;1 ;0.66;0225283520;21;420;8 
452540;3256220064118;250G SACHET LAITUE ICEBERG U  ;250G SACHET LA;1 ;0.64;0230350514;21;450;8 
510623;3256221116069;6X70G PAIN AU CHOCOLAT U      ;6X70G PAIN AU ;1 ;1.69;0215251510;60;390;8 
217152;3480391432807;PANTOUFLE  HOMME KA PASTEL    ;PANTOUFLE  HOM;2 ;4.69;0425103010;20;830;ZZ
051695;3088542500285;250G SIROP D ERABLE CANADA    ;250G SIROP D E;1 ;3.0;0105071005;40;200;3 
451188;5601419168210;500G FILET DE MERLU BLANC     ;500G FILET DE ;1 ;3.76;0215242500;40;390;4 
452312;3256220063951;165G 2 BARQ.DES D EPAULE U    ;165G 2 BARQ.DE;1 ;0.64;0240380505;28;380;8 
745383;3368950776824;SAC CAISSE 25L                ;SAC CAISSE 25L;2 ;0.04;0905101000;40;813;ZZ
585301;3292070001750;16 BLINIS COCKTAIL +4 GRT 170G;16 BLINIS COCK;1 ;0.97;0240402535;6 ;491;ZZ
234691;3700292907601;5 GANTS DE TOILETTE           ;5 GANTS DE TOI;2 ;2.7;0420930505;10;840;ZZ
007028;3451790563256;250G BEURRE DX  60% MONTFLEURI;250G BEURRE DX;1 ;1.08;0225310000;3 ;419;1 
000301;3483219000301;ACCESSOIRES MENAGERSA 3(CU)   ;ACCESSOIRES ME;2 ;2.0;0305581505;60;540;ZZ
418198;3256224043997;250ML SHAMP BB DOUX U TT PTIT ;250ML SHAMP BB;2 ;0.88;0120155005;50;661;16
189383;3227291030210;500G BETTERAVES CUBES         ;500G BETTERAVE;1 ;0.8;0230350612;90;450;3 
409741;3256222416007;1/2 BTE SAUCISSES COCKTAIL U  ;1/2 BTE SAUCIS;1 ;1.05;0105020515;60;230;8 
455001;3256220358026;1KG PAELLA FRT.MER/COL.A.U    ;1KG PAELLA FRT;1 ;2.45;0215242010;56;390;8 
024193;3368954907217;SAC ISOTHERME 34L U BLANC     ;SAC ISOTHERME ;2 ;0.83;0905051520;40;813;ZZ
281795;3551610001033;180G 2 STEACK HACHE THON      ;180G 2 STEACK ;1 ;1.86;0240402528;6 ;491;3 
229450;8712566328208;328G 4 MAGNUM AMANDE   MOTTA  ;328G 4 MAGNUM ;1 ;2.46;0215250000;21;410;3 
371875;3265980174265;2X130G PAVE BOEUF NAT EX TENDR;2X130G PAVE BO;1 ;2.94;0255470405;12;486;3 
475116;3256220658959;125G BQ AMANDE EMONDEE U      ;125G BQ AMANDE;1 ;1.42;0230361512;10;120;8 
648044;3257630343435;780G SOUPE POISSON+90G ROUILLE;780G SOUPE POI;1 ;4.35;0240402505;3 ;491;3 
126181;3061430009817;250G SALADE SCALA             ;250G SALADE SC;1 ;2.65;0230350544;53;380;3 
102771;2441865000000;  FRAIS EMB  MORBIER L.CRU X 6;FRAIS EMB  MOR;1 ;0.0;0220271000;46;421;3 
443185;3256224658917;225G CHORIZO PUR PORC DOUX U  ;225G CHORIZO P;1 ;1.35;0240410520;10;380;8 
