Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
108598;5998749108598;60G LES IRRES.WHI C/BOULE (CU);60G LES IRRES.;2 ;0.76;0105081005;28;270;ZZ
509371;3256221671957;500G RIZ PARFUME CAMBODGE U   ;500G RIZ PARFU;1 ;0.8;0105041505;30;120;8 
016336;3000048016336;(MT)TOMATE CERISE GR.PP       ;TOMATE CERISE ;1 ;1.1;0230359900;93;450;3 
982626;3502110006134;1.5L LIPTON MOJITO            ;1.5L LIPTON MO;1 ;1.45;0110100510;25;300;3 
258378;3161879072400;230G  PASTILLES VICHY MENTHE  ;230G  PASTILLE;2 ;0.86;0105022510;50;70 ;3 
130384;0000030005501;100G POT SOCIETE CREME        ;100G POT SOCIE;1 ;1.32;0225283510;18;420;3 
670211;8852018511045;5X60G SOUPE NOUILLE CREVET.YUM;5X60G SOUPE NO;1 ;0.96;0105071010;16;240;ZZ
599180;3059943009004;250ML AIRWICK DIFF AGR.FRESHMA;250ML AIRWICK ;2 ;6.54;0115131525;60;510;3 
696283;8853095002181;455ML SAUCE PIMENT MONT ASIE  ;455ML SAUCE PI;1 ;1.83;0105034010;16;240;3 
123939;3760122960404;2X125G YAOURT VANILLE M&A     ;2X125G YAOURT ;1 ;1.59;0225291025;8 ;418;4 
443737;3256224701606;1KG POMMES FRITES COUPE 9/9 U ;1KG POMMES FRI;1 ;0.66;0215245005;26;390;8 
892155;3660140892155;360G PAIN EPICE FIGUES EDI(CU);360G PAIN EPIC;1 ;1.5;0105023505;52;61 ;ZZ
500709;3256221663990;4X115G SEMOULE LAIT/VANILLE U ;4X115G SEMOULE;1 ;0.72;0225291005;36;418;8 
009186;0000000009186;(MT)MESCLUN BARQ.250G         ;MESCLUN 250G  ;1 ;1.6;0230359900;93;450;ZZ
015006;3038350015006;500G  SPAGHETTIS  PAN(CU)     ;500G  SPAGHETT;1 ;0.63;0105042005;14;110;ZZ
547256;3162050040218;40G FLACON GINGEMBRE MOULU    ;40G FLACON GIN;1 ;1.23;0105033505;10;150;3 
NULL;8714789917955;JAVEL LACROIX ORIG.3X250ML    ;JAVEL LACROIX ;2 ;1.17;0115130505;40;500;3 
001616;3256224061724;420G SCE BOLOGNAISE + DE BF U ;420G SCE BOLOG;1 ;1.32;0105034510;60;140;8 
436968;3256220370622;18X7G DOS CAFE HAVELAAR U BIO ;18X7G DOS CAFE;1 ;1.31;0105011005;37;30 ;11
027727;7617014161479;50G 10CAPS DECAFFEI.CAFE ROYAL;50G 10CAPS DEC;1 ;2.04;0105011005;38;30 ;ZZ
730998;3256220269193;800G GAMBAS ENT.CRUES SURG U  ;800G GAMBAS EN;1 ;11.24;0215242510;40;390;8 
NULL;4005500569503;NESTLE KIT KAT MINI ST 350G   ;NESTLE KIT KAT;2 ;2.14;0105022005;40;60 ;3 
458130;3395501932576;40G POT BARBAPAPA             ;40G POT BARBAP;1 ;1.11;0105022515;10;63 ;ZZ
003965;0000000003965;(MT)POMME DE TERRE AGATA      ;POMME DE TERRE;1 ;2.3;0105012000;93;450;ZZ
289298;3080216014715;6X25CL BTL BIERE 1664 BLANC   ;6X25CL BTL BIE;2 ;3.35;0110102005;30;310;3 
074415;3271923103209;75CL AOC RASTEAU VILLAGE RG 13;75CL AOC RASTE;2 ;4.71;0110111010;27;340;4 
004568;0000000004568;ROQUETTE BARQ 125G            ;ROQUETTE BARQ ;1 ;0.99;0230350600;91;450;ZZ
412841;3256221220421;60G SACHET SOUFFLE PIZZA U    ;60G SACHET SOU;1 ;0.42;0105020505;10;20 ;8 
519774;3272610000399;250G CROIBLEU SEVE DE PIN     ;250G CROIBLEU ;2 ;1.27;0105022510;40;70 ;3 
071661;8076800195019;500G  CAPELLINI        BARILLA;500G  CAPELLIN;1 ;0.85;0105042015;12;110;3 
581496;7610700614044;50G RICOLA S/SUCRE EXTR STEVIA;50G RICOLA S/S;2 ;1.0;0105023010;50;75 ;3 
078853;3017800078853;1/2 LENTILLES PREPAREES D (CU);1/2 LENTILLES ;1 ;0.24;0105043505;54;210;ZZ
341456;3095758931109;100G 2TR ROTI DINDE F-MICHON  ;100G 2TR ROTI ;1 ;1.35;0240381550;18;380;3 
000404;5010327000404;70CLX40* WHISKY GRA(CU)       ;70CLX40* WHISK;2 ;9.5;0110121005;80;370;ZZ
004907;3256224756866;210G SDW CHEVRE TOMAT ROQUET U;210G SDW CHEVR;1 ;1.57;0240391505;52;380;8 
905941;3178040683297;LESS.ECO.EF.LECHAT1,875L 25LAV;LESS.ECO.EF.LE;2 ;5.84;0115130505;15;500;3 
624731;3048090040015;5 BROS INTERDENT CON 2-4 MM   ;5 BROS INTERDE;2 ;2.05;0120151005;39;650;3 
417011;3256221510140;2X12.5CL JUS CITRON VERT U    ;2X12.5CL JUS C;1 ;0.72;0105032505;30;180;8 
614477;3036810350032;1L BK VELOUT.CEPE/BOLET LIEBIG;1L BK VELOUT.C;1 ;2.02;0105052015;35;130;3 
118683;8000500009673;300G FERRERO ROCHERS T24      ;300G FERRERO R;1 ;6.15;0105024020;30;61 ;ZZ
455580;4008400828121;11 BARRES KINDER MAXI         ;11 BARRES KIND;2 ;2.16;0105022005;45;60 ;3 
084096;3147690096108;20CL PORTO 19* FLASK      CRUZ;20CL PORTO 19*;2 ;1.72;0110120535;5 ;370;3 
211291;3256220211291;200G PQ PETITS BEUR(CU)       ;200G PQ PETITS;1 ;0.53;0105021005;20;20 ;ZZ
575542;3256223379592;GEL DCHE HOM.DETENTE BYU 250ML;GEL DCHE HOM.D;2 ;0.63;0120152510;24;650;10
