"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"0000000009188 (CN)TOMATE GRAP    0.72";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"014";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"9188"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"PT 0,005kg                       0.00";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"015";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4636"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"1.01X NET  1,010kg X   3,49Eu    0.00";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"016";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4636"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"0000000004636 (CN)RAISIN RED     3.52";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"017";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4636"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"0000000004428 (CN)KAKI BOLLO     1.09";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"018";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4428"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"PT 0,005kg                       0.00";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"019";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4811"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"NET  0,315kg X   2,19Eur/kg      0.00";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"020";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4811"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"0000000004811 (CN)NAVET VIOLE    0.69";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"021";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4811"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"PT 0,005kg                       0.00";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"022";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4130"
"0000171252";";";"20161207";";";"2024";";";"0000000000";";";"00";";";"INFORMATION";";";"NET  0,205kg X   4,39Eur/kg      0.00";";";"0.000";";";"0.00";";";"01";";";"11";";";"";";";"000000";";";"00";";";"023";";";"000";";";"00";";";"";";";"0.00";";";"0.00";";";"060";";";"";";";"00";";";"0.000";";";"0.00";";";"4130"
